Date,Close,기사날짜,기사제목
2018-11-01,2024.459961,2018.10.31,"['미국 증시 꼭지인가  10년 상승 피로감일 뿐  vs  美기업 실적 둔화 ', '헤지펀드도 10월 급락장서 쓴맛', '外人  10월에 4조6천억 순매도 전기전자·제약株 팔아', '금감원 말 바꾸기에도···삼바  문제없다 ', '베어마켓 진정되면 반등장  쇼핑할 주식 N0 1은  ', ' 이틀째 오르며 잔인한 10월 마감 코스닥  한달간 21 1  뚝', '美 달러 1년4개월來 최고치 원·달러 상승', '  코리아 디스카운트 벗어나려면 증권거래세 인하해야 ', '외국인  끝모를 순매도’  국민연금은 증시서 8兆 손실', '호재와 악재 사이서 롤러코스터 타는 코스피', '2010선 등락 코스피 신중론 여전 수급 상황 불안', '코스피  기관 매수로 한숨은 돌렸지만  아직 낙관하기 힘들어 ', ' 10월 한달 내달린 코스피  2020선 초반에서  숨고르기’ 中', ' 다시한번 확인된 10월의 공포 ', '반갑다  외국인 코스피 10일 만에 순매수', '올해만 8조 평가손 국민연금 소방수론 논란', '국고채 장·단기물 일제히 약세', '개인·외국인 매수세에 코스피 이틀 연속 상승 2030선 코앞', '부진한 지표 무시한 증시 바닥 신호에 일제히 반등', ' 우리 회사 괜찮아요  상장사들 자사주 매입 러시']"
2018-11-02,2096,2018.11.01,"['브렉시트 금융부문 합의 소식에 원·달러 환율 하락', '배당株로 수비 짧은 반등장 단타 기회 노려라', '10월의 비명 폭락한 지수 훨씬 밑돈 펀드들', ' 中증시 약세에 코스피도 뒷심부족 기관 이틀째 팔자', '안정 찾아가는 증시   블랙 트라우마’ 이겨낼까', '공매도 1위 삼성전기  눈부신 실적에 급반등', '코스피  기관 매도에 하락 코스닥은 650선 회복', '10월 공매도 거래대금·비중 사상 최대   올 누적 100조 돌파', ' 코스닥  3거래일 연속 상승   600선 내성있다 ', ' 11월 변동성 확대 대비 방어주·가치주 대응이 적절 ', '코스닥  3거래일 연속 상승세 추가 급락 없을까 ', '돌아온 외국인 코스피 저점 통과 시그널 ', '中企·벤처에 돈 풀자 증권사엔 건전성 규제 완화 종합 ', '② 외인 팔면 휘청 기관도 개인도  받기 힘들어 ', '장중 코스피 오르자  채권금리 상승', '개미의 눈물 한달새 반대매매 5천억', '약발 떨어진 중국 경기부양 호재 혼조', '하락場에 대주주 주식담보대출 주의보', ' 자사주 매입  주가부양에 몸부림치는 기업들', '코스피  기관 매도에 3거래일만에 하락 코스닥은 상승 ']"
2018-11-05,2076.919922,2018.11.04,"[' 美 중간선거가 변곡점   실적개선 저평가주 유망', ' 미국 중간선거 결과에 이목 집중 종합 ', ' 미국 중간선거 결과에 이목 집중', '美·中 연말 쇼핑시즌 증시 상승 이끌까', ' 美 중간선거  증시 상승으로 이어질까', ' lt;뉴욕증시 주간전망 gt; 美선거·무역협상·FOMC 변동성 요인 산재']"
2018-11-06,2089.620117,2018.11.05,"[' 아시아 신흥국 블루 먼데이   코스피지수는 1 대 하락세', '亞 증시 일제히 반락 원·달러 환율 상승', ' 증시 불안에 상장철회 속출 공모시장 급랭', '후진하는 코스피  마녀의 날 부담과 電車의 부진', '수능일 증시 개·폐장 1시간씩 늦춘다', '하루 앞둔 美 중간선거  국내 증시에  득  될까  독  될까', '코스피 끌어올린 제약·바이오 투자심리 회복되나', '민주당이 미 하원을 장악해야 하는 이유', ' 외인 기관 다시  팔자’ 코스피 2060선으로 후퇴', '보호무역 완화 무드에도  美금리 방향성 주목해야 ', ' 이번주  환투기세력 웃나 우나', ' 국내 증시 반등세 이어질까  미국 중간선거 주시 ', '번번이 물먹은 정부 정책   증권가  이번에는  이번에도   반신반의', '주력산업 위기 불똥 튄 中企 눈앞엔 금리 압박', '장외시장도 10월 충격  시총 4770억 증발', '무역전쟁 해결 기대 급했나  일제히 반락', '亞 증시 일제히 내리자 채권값 상승', '힘없는 코스피  2080선 내줘 코스닥은 5거래일 상승  ', '코스피 외인·기관 매도에 약세 2 070대 하락 마감 종합 ', '미중 무역분쟁 불확실성 완화  변동성 정점 지났나']"
2018-11-07,2078.689941,2018.11.06,"['오늘 美 중간선거 시나리오별 韓증시 영향은 ', '美 중간선거 경계감 원·달러 환율 소폭 올라', ' 美 중간선거 앞두고 투자자 관망 코스피지수 소폭 상승마감', '커지는 증시 변동성 빚내서 주식 투자도 줄어든다', '금융위원장  증권거래세 폐지 검토 필요 ', '경상수지 흑자의 그늘과 증시 발목잡는 정부 정책  ', '美 중간선거에 움츠러든 韓 증시 들쭉날쭉 장세', '변동성 장세에 시총순위도 지각변동', ' 애플도 구글도 불붙은 기술주 재평가 ', '미중 무역 협상과 美 중간선거에 쏠린 눈', '증시  美 중간선거 앞두고 예측불허', ' 제약·바이오주  유한양행 약발 언제까지 갈까 ', ' 코스피 2080선 재진입 외인 기관  팔자’는 여전', '뉴욕증시  美중간선거 앞두고 혼조세   다우  0 8 ↑', ' 美중간선거 앞 관망세', '오늘 美 중간선거 무역전쟁은 현재진행형', '美선거 앞두고 혼조 日은 토요타 타고 상승', '증시 소폭 반등에 채권금리 상승', '美中 무역 협상·美 중간선거 기대감에 코스피 상승 마감', '韓 경기선행지수 17개월째 하락  반등시 투자종목은']"
2018-11-08,2092.629883,2018.11.07,"['하락장서 털린 개미 거래세부담도 역대 최대', ' 성장률 하락에 기업은 실적쇼크  코스피 저점’ 아무도 몰라', ' 북미 고위급 회담 노란불에 코스피지수는 파란불', '美 중간선거 개표 따라 오르락내리락', '북미 회담연기· FOMC에 경계감 확대된 증시', '코스피  북미 회담 연기 돌발 악재에 하락 남북경협株하락', ' 코스피 2100선 재진입 美 중간선거 결과  촉각’', '미국 중간선거 이후의 시장 대응법', ' 美 중간선거 촉각 韓 증시 영향은 ', ' 중간선거 앞 일제 상승', ' 의회 양분시 올랐던 증시 올해는 다를 듯 ', '뉴욕증시  美중간선거 결과 주목 속에 일제히 상승   다우  0 7 ↑', '10월 증시 하락 불구 공매도가 감소한 이유', '예상된 美 선거 결과에도 일제 하락', '美 중간선거 영향 미미 금리 하락', '북미 고위급회담 무기한 연기에 2100선 놓친 코스피', '불안한 주식 시장  제값 못 받는다  상장 철회 잇따라', '코스피  불확실성 해소 기대  2주 만에 2100선 회복 ', '국내 증시 낙폭 주범 신용잔고 줄어든 종목은', ' 중간선거 뒤엔 FOMC 여전히 미국에 쏠리는 눈']"
2018-11-09,2086.090088,2018.11.08,"['美 중간선거 끝나자 안도 랠리    外人 현선물 7 000억 동시매수', ' 美 중간선거·中 수출 통계 발표에 코스피 2096 63 마감', '美 선거 불확실성 해소 원화값 1개월來 최고', '코스피  美 중간선거 안도감에 상승 2100선 코앞', '美 중간선거로 불확실성 제거 증권가  FOMC·미중 정상회담 관심↑ ', '코스피  美중간선거 안도감에 강세  연말 랠리 기대↑ ', ' 코스피 2110선 돌파 美 증시 강세 효과', '미국발 훈풍 코스피 장중 2 120선 회복 코스닥 2  올라 종합2보 ', ' 美의회권력 양분  증시에 최상의 결과 ', ' 美중간선거 예상 적중에 강세', '미국 중간선거  위험자산 선호 현상  연말 랠리 기대 ', '양분된 美 의회  무역분쟁 속도조절  연말랠리 기대', '美 중간선거 종료  韓 증시에 우호적인 환경 조성될 것 ', '뉴욕증시  美중간선거 불확실성 제거에 랠리   다우  2 1 ↑', '코스피 소폭 상승 뜨뜻미지근한 채권', '통상공세 재개한 트럼프   中증시 홀로 하락세', '美 선거 결과에 증시 안정 원 달러 환율도 1120원선 하회', '중간선거 넘은 코스피 산타 랠리 기대해도 좋을까 ', ' 이변없는 美 선거결과  韓 증시 영향 중립적 ', ' 중간선거 결과로 미 행정부 정책 연속성 가질 것   금융시장 영향은  중립’']"
2018-11-12,2080.439941,2018.11.11,"[' 빅이슈 없는 증시  2100선 안팎 바닥 다질듯', '빅이벤트 마무리 단기 반등 모색할 시점', ' 파월 美연준 의장 입에 주목', ' 伊 예산안과 브렉시트 유럽에 주목', ' lt;뉴욕증시 주간전망 gt; 경기 둔화 우려 핵심 경제지표 주목']"
2018-11-13,2071.22998,2018.11.12,"[' 삼성바이오·셀트리온에 발목 잡힌 하루', '伊·EU 갈등에 유로화 1년5개월來 최저 원·달러 상승', '셀트리온 어닝쇼크에 신저가 바이오주 동반 급락', '삼성바이오·셀트리온 쇼크 바이오株  단기 변동성 불가피  ', '코스피  바이오株 급락에 하락 코스닥은 2 대하락 종합 ', '증권사 목표주가대로면 수익률 50  당국은 점검 중', '공매도 평행선 여전  업틱룰 개선  vs  사후규제 강화 ', '유가  상승이냐 하락이냐 정유주vs 화학주', ' 투자 나침반’ 잃은 개미 전망도 제각각', ' 신통찮은 하반기 실적 차라리 테마주 보라', '국내 주식 파는 연기금  불안한 투자자 중·소형주 팔자', ' 外人 기관 매도에 코스피 다시 2070선 셀트리온 삼성바이오  폭락’', '글로벌 경기둔화 부각된 실적시즌  대형주 중심 대응 권고 ', '코스피  2100선서 안착 시도  밸류에이션 정상화 거칠 듯', '증권거래세 현실화 산 넘어산 연내 물건너가나', ' 한국부터 팔았다    셀코리아 부른 짠물배당', '中  광군제 효과로 6일 만에 상승', '커지는 둔화 우려 커브 더 누웠다', '코스피  제약·바이오 이슈로 하락 IT가 추가 하락 막아', ' 국내 IT·건강관리 등 이익추정치 하향된 업종 주목 ']"
2018-11-14,2068.050049,2018.11.13,"['주가 5  폭락 애플에 무슨 일이  ', '어떤 결론 나와도 소송 등 장기화 가능성 높아 시장 부담', ' 반도체주에 발목 잡힌 한국 증시 2070선 마감', '外人 3000억원 팔았는데 원화 가치 오른 이유는', '불확실한 내년 전망  IT 이익 정체될 것  코스피 얼마 ', '애플 급락에 韓 반도체도 휘청 코스피 한때 2030까지 밀려', '11월 기준금리 전망  의견 분분 인상  or 동결  ', ' FANG의 추락   시장은 대체재 찾는 중 ', '대외 악재에 휘청이는 코스피  위험관리 필요한 때 ', ' 外人 기관 매도세 2  넘게 빠진 코스피  2040선 밑  털썩’', '코스닥 10월 개인 거래비중 80 로  뚝’ 1999년 이후 최저', ' 강달러·유가 약세에 급락', '뉴욕 급락 국내 증시에도 부담', '주가 따라 오르락내리락 채권 혼조', '애플發 악재에 반도체株 흔들 코스닥  반등 성공', '애플에 운 日  무역협상 기대감에 웃은 中', '코스피 바닥 재확인 G20 정상회담까지 변동성 장세', '코스피  애플 실적·美 수입차 관세 우려에 약세 2070선 마감', '연기금  코스닥 팔고 대형주로 갈아탄다', ' 예고된 악재도 민감하게 반응하는 시기  경계감 높여야 ']"
