,Date,Close,기사날짜,기사제목,EMA
0,2018-11-01,68300,2018.10.31,"['SK하이닉스 공장 덕에 참사면한 설비투자', '삼성  4분기부터 반도체경기 둔화 ', ' 레이더P   랭킹쇼  김정은 방남때 어디를 갈까 예상 동선', ' 셀코리아  외국인  네이버는 샀다', ' 경기 하강  경고음 커져 車 개소세 인하 약발없고 소매판매도 최악', '키움증권  국내 우량주 결합한 ELS 2종 공모', '글로벌 R amp;D 성장점  산업은 SW  지역은 중국 ', '코스피  이틀 연속 반등 2020선 회복', '코스피  보합권 출발 외국인·기관 동반 매도', '대중소 임금격차 해소 중점 추진', '안팎에서 터지는 반도체株 호재', ' 삼성 3분기 영업익 17조 돌파  D램 무한질주   삼성전자  반도체 100원 팔아 55원 남겼다', '생산·소비 동반부진  경기 하강 신호', '9월 산업생산 1 3  하락 소비 9개월만 최대 폭 하락', ' 증시 폭락은 한국경제 모순 반영된 것 ', '경기동행지수 6개월 연속 하락 경기하강 국면 진입했나 종합 ', ' 코리아디스카운드  인색한 배당·불투명한 지배구조에 근본 원인 ', '미  중 반도체 기업 거래 금지에 삼성전자 등 긍정적 NH', ' fn오후시황 개인 매수에 코스피 2020선 회복', ' fn오전시황 코스피 하락 반전  2010선 보합', '오션브릿지  SK하이닉스에 29억원 규모 장비 공급', ' 특징주  최대 실적  삼성전자  SK하이닉스와 동반 강세', '간판기업들 어닝쇼크 잇따라  내년이 더 두려워 ', '2년4개월 만에 고정거래價 미끄럼 D램 가격 10 7  급락', '코스피  외국인·기관  팔자 에 하락', ' 한경로보뉴스  전일  거래소 기관 순매수상위에 운수장비 업종 4종목', '생산도 소비도  곤두박질   경기 둔화 넘어 완연한 하강 국면 ', '반갑다  외국인 10일 만에 코스피 순매수', '미국  中 D램업체에 수출 제한  중장기 공급과잉 우려 해소 ', '코스피  개인  사자 에 상승 전환 장중 2020선 회복', ' 특징주 中 반도체 기업 거래 금지에 삼성전자·SK하이닉스 상승세', ' 위축된 경제  동행지수 순환변동치 6개월 연속 하락 상보 ', ' 한국 반도체의 산 역사  강기동 박사를 기억하시나요', ' 박수칠 때 아니다  최대실적에 신발끈 조이는 삼성', '생산·소비 동반 부진 경기 하강국면 깜빡이', '김동연  선행지표만으로 경기침체라 할 수 없어 ', '키움증권  국내 우량주 활용한 ELS 2종 판매', '美  中 반도체 기업 거래 금지 국내 반도체 업체엔 수혜 NH투자證', '개인·외국인 매수세에 코스피 이틀 연속 상승 2030선 코앞', '美 증시 상승에도 코스피  외인·기관 매도에 약세', ' 특징주  三電·하이닉스  반도체 투자심리 개선에 강세', '산업생산  5년반만에 최대 감소 경기동행지수 반년째 하락 종합2보 ', '코스피 2 030선  턱밑  외인 10일 만에  사자  종합2보 ', '코스피 2 030선  턱밑  외인 10일 만에  사자  종합 ', '세계 R amp;D투자  중국 기업 약진 한국 바이오 기업도 상승', '코스피 미국발 훈풍에 상승 2 020선 공략 종합2보 ', '버팀목없는 韓경제 생산·소비 동반부진  경제상황 좋지않다 ', '코스피 상승 출발 뒤 하락 전환 2 010선 등락 종합 ', '外人  10월에 4조6천억 순매도 전기전자·제약株 팔아', ' 게시판  한국국제경영학회  내달 3일 추계학술대회']",68300
1,2018-11-02,72600,2018.11.01,"[' 단독  상장사 31  어닝쇼크', '상장사 이익 18  늘었지만 반도체 빼면 증가율 고작 2 ', '기관 매도에 밀린 코스피  2020선 하락 마감', '코스피  사흘 연속 상승 외국인  사자 ', ' 사설  트럼프는 결국 중국 반도체를 정조준했다', '업황 꺾여도 반도체株 낙관론 현금만 수십조  주주환원책 기대', ' 한경로보뉴스  전일  거래소 기관 순매도상위에 전기 전자 업종 6종목', ' 문재인 대통령 국회 시정연설 경제위기 의식 안보인다 ', '코스피  상승 폭 확대해 2050선 코스닥은 3 대  급등 ', '코스피  미 증시 상승에 장중 2040선  회복  코스닥은 1 대 강세', ' 한경로보뉴스  전일  외국인 거래소에서 삼성전자  0 12    삼성전자우  1 85   등 순매수', ' 사설  산업과 시장 현실 눈감은  주술경제 로 가는 건가', '코스피  기관 매도에 3거래일만에 하락 코스닥은 상승 ', '코스피  뉴욕증시 반등에 사흘째 상승세   외인  사자  ', ' 삼성반도체 백혈병  보상 핵심은  최대한 많은 피해자 보상  종합 ', ' 한국 반도체 산업의 산증인  강기동 박사  자서전 출간', ' 삼성반도체 백혈병  보상 핵심은  최대한 많은 피해자 보상 ', 'D램 가격 한달만에 10  이상 급락 낸드플래시도 두달째 하락', '코스피 美증시 호조에 사흘째 반등 2 040선 공략 종합 ', '코스피 美증시 호조에 사흘째 반등 2 040선 회복 종합2보 ', '국토부 전직 고위공무원 등 퇴직공직자 6명 재취업 불허', '코스피 기관 매도에 사흘 만에 하락 2 020선은 지켜 종합 ']",68709
2,2018-11-05,70500,2018.11.04,"['성능 30  높인 4D 낸드 SK하이닉스 세계 첫 개발', 'SK하이닉스  세계 첫 96단 4D낸드 개발', 'SK하이닉스 세계 최초 CTF 기반 4D 낸드 개발  연내 양산', ' 정부 경제전망 신뢰성 논란   한국경제  겨울이 오고 있다   내년 계획 못잡는 기업들', ' fn 이사람   연휴 반납하고 머신러닝 기초부터 공부 ', '3D 낸드  SK하이닉스  96단 4D 낸드 로 간다', 'SK하이닉스  세계 최초 CTF 기반  96단 4D 낸드  개발', 'SK하이닉스 세계 최초 4D 낸드 개발  칩 사이즈 30  이상 줄이고 속도 30  향상 ', ' 코스피 싸다  싸  IT·화학株  보텀 피싱 ', 'SK하이닉스  세계최초 96단 4D 낸드 개발 완료 성능·생산성상승', '10·22 국민연금 조치 이후  공매도 잔고  감소했다', '1조 달러  반도체 한국  전설 강기동 박사  씨앗 뿌리자 열매 열렸죠 ', 'SK하이닉스  96단  4D 낸드  개발 성공', 'SK하이닉스  96단  4D 낸드  개발 성공', 'SK하이닉스  96단  4D 낸드  개발 성공  세계최초 CTF 기반 ']",68880
3,2018-11-06,70100,2018.11.05,"['로볼펀드마저 금융주 붕괴에 수익률 뚝', '코스피  미중 무역협상 타결 불확실성에 약세 2070선 후퇴', '코스피  미중 무역협상 타결 기대감 축소에 약세 2070선 출발', '반도체 빼면 기업투자  뒷걸음    경제정책이 부채질 ', ' 반도체 코리아’ D램값 급락에도 무덤덤', ' 반도체社 빼면 투자 21  줄어  쓴소리 쏟아진 한경연 세미나', '윤홍근 제너시스BBQ 회장  글로벌경영대상  글로벌CEO  수상', ' fn마감시황 코스피  기관 매도 폭탄에 2070선 마감', ' fn오전시황 코스피  外人·기관 동반 매도에 2070선 후퇴', '올해 이익 많이 증가하는 광고 기업 1위는 이노션', ' 일하는 방식 안 바꾸면 미래 없다  스마트워크 속도 내는 기업들', '코스피  美중간선거 앞두고 낙폭 확대 장중 2050대로 후퇴', '코스피  美 중간선거 앞두고 하락 대규모 기술수출 유한양행  上 ', '반도체 고점 논란 진행 중  가장 안전한 SK머티리얼즈', '윤홍근 제너시스BBQ회장  글로벌경영대상  글로벌CEO  수상', '힘없는 코스피  2080선 내줘 코스닥은 5거래일 상승  ', '머니투데이 오프라인 헤드라인 5일자', '코스피  미 중간선거 앞두고 하락   2070선에서 약세  ', '코스피  코스닥 동반 하락   코스피 2060선으로 밀려 ', '코스피 외인·기관 매도에 하락 장중 2 070대 후퇴 종합 ', '코스피 외인·기관 매도에 약세 2 070대 하락 마감 종합 ', '코스피 외인·기관 매도에 약세 2 070대 하락 마감 종합2보 ', ' 증시신상품  KRX300 섹터별 지수 추종 ETF', '중국국제수입박람회서 한국관 운영 186개 기업 참가', '한국국제경영학회  2018 추계국제학술대회 ', ' 전국 주요 신문 톱뉴스  5일 조간 ', '코스피  외인·기관 매도에 장중 2 060대 후퇴 종합2보 ']",68996
4,2018-11-07,70800,2018.11.06,"[' 매경이 만난 사람  IT구루 진대제 스카이레이크인베스트먼트 회장', ' 2018 대한민국광고대상 수상작품 공개', '코스피  美 중간선거 앞두고 상승 2080선 마감', '약세 전환한 코스피  美 중간선거 앞두고  숨고르기  국면', '이노션  2018 대한민국 광고대상 대상 수상', '이노션  대한민국 광고대상  2관왕', '월 경상흑자  1년만에 100억불 재돌파   외인 투자는 위축 종합 ', '9월 경상수지 1년만에 100억弗 재돌파', '韓 초격차·美견제에 中 반도체 굴기 타격', '무역협회   중국 국제수입박람회  186개사와 참가', ' fn마감시황  美 중간선거 앞두고 외국인 관망 코스피 0 6 상승', ' 한경로보뉴스  전일  외국인 거래소에서 SK하이닉스  2 89    LG유플러스  2 48   등 순매도', '올해 매출액 증가율 1위 30대 상장사는 삼성SDI', ' 현장 중시  두산    인재 영입  SK    신용과 의리  한화  야구를 보면 기업문화 보인다 ', '코스피  등락 거듭 외국인·기관 vs 개인  공방 ', '코스피  미 중간선거 경계감에  롤러코스터  조선주  강세 ', '코스피  개인 매수에 상승세 수주 기대 조선株  강세 ', '코스피  美 중간선거 앞둔 관망세에 보합권 의약품株  강세 ', '美中 무역 협상·美 중간선거 기대감에 코스피 상승 마감', '코스피 강보합 출발   유한양행 급등에 의약품 강세  ', 'SK하이닉스 기업PR 캠페인 등  대한민국 광고대상  선정', '코스피 美중간선거  눈치보기  끝에 상승 2 090선 코앞 종합 ', '코스피 美중간선거  눈치보기  끝에 상승 2 090선 코앞 종합2보 ', '중국 국제수입박람회 방문한 김영주 무협회장', '중국 국제수입박람회 방문한 김영주 무협회장', '코스피  美중간선거 앞두고 혼조세 2 070대 등락 종합 ', '코스피  美중간선거 앞두고 혼조세 장중 2 090선  터치  종합2보 ']",69168
5,2018-11-08,72900,2018.11.07,"['키움증권  SK하이닉스 기초자산 포함 ELS 출시', '이노션  2018 대한민국 광고대상 대상 수상', '그룹 간판 계열사로 자리매김한 정유·화학사', '개인 매수에 힘입어 상승 출발한 코스피', '미북 정상회담 연기에 투자심리 위축 코스피 하락 마감', '국내 R amp;D 상위 1000대 기업 투자 46조원 대기업이 절반 이상', '키움증권  SK하이닉스 포함 ELS 출시', '1000대 기업 작년 R amp;D 투자 46兆', '국내 1000대기업 지난해 R amp;D 투자액 46조원  7 9  증가', ' fn오전시황 코스피  개인 매수에 2090선 회복 ', ' fn오후시황 코스피  개인·기관 매수에 2090선 보합 ', ' fn마감시황 코스피  개인·연기금 버텼지만 2070선 후퇴 ', ' 한경로보뉴스  전일  외국인 거래소에서 삼성전기  6 34    유한양행  8 23   등 순매도', '코스피  북미 회담 연기 돌발 악재에 하락 남북경협株하락', '참나무 멜라민식기로 매출 급상승   인천 이더멜라민', '코스피  2100선 위 상승 흐름 美 중간선거 개표 시작', '코스피  美 중간선거 결과에 주목 보합권 등락', '코스피  예상한 美 중간선거 판도에 상승 지속 증권주  강세 ', ' 한경로보뉴스  전일  거래소 기관 순매도상위에 전기 전자 업종 6종목', '키움증권  SK하이닉스 기초자산 ELS 판매', ' 국내 R amp;D 상위 1000대 기업 투자액 46조원  전년比 7 9 상승 ', '북미 고위급회담 무기한 연기에 2100선 놓친 코스피', '코스피·코스닥  美 중간선거 결과 앞두고 소폭 상승 ', '국내 연구개발 상위 1천대 기업 투자 46조원 7 9 상승', '코스피 북미 고위급회담 연기에 하락 전환 2 070대 후퇴 종합2보 ', ' 증시신상품  키움증권  연 10 2  수익 추구 ELS 공모', '코스피 북미 고위급회담 연기에 하락전환 2 070대 후퇴 종합 ', '코스피 상승 출발 장중 2 100선 회복 종합 ', '코스피  열흘 만에 장중 2 100선 회복 美선거 결과 주시 종합2보 ']",69523
6,2018-11-09,72900,2018.11.08,"['코스피  11월 옵션만기일 외국인 매수에  방긋 ', '코스피  보름여만에 2100선 회복 연말랠리 기대감상승', '최두원 하이비젼시스템 대표  삼성·애플폰 센서 검사 도맡아', ' 사설  대·중소기업 이익공유제 법으로 규제할 사안 아니다', '日도시바  5년간 7천명 감축 설비·R amp;D에 1 7조엔 투자 ', ' fn오전시황   美 정치안정 기대감  코스피 2100선 회복', ' 특징주 삼성전자 SK하이닉스  강세  무역분쟁 완화 기대', ' 한경로보뉴스  전일  기관 거래소에서 삼성전자  0 57    SK하이닉스  1   등 순매수', '올해 순이익 증가율 1위 50대 상장사는 삼성전기', '성큼 다가온 OLED 시대  수혜 1순위 기업은 주성엔지니어링', ' 한경로보뉴스  전일  거래소 외국인 순매수상위에 금융업 업종 6종목', '코스피  美 중간선거 안도감에 상승 2100선  코앞 ', '코스피  외국인·기관 매수에 2100선 상승 지속', '코스피  2  가까이 급등  美 중간선거 결과 안도감 ', '美 선거 결과에 증시 안정 원 달러 환율도 1120원선 하회', '코스피  2100선 회복하며 상승   코스닥 2 대 강세 ', '코스피 미국발 훈풍에 상승 단숨에 장중 2 120대 회복 종합 ', '美증시 강세에 코스피 상승 나흘 만에 2 090대 마감 종합2보 ', '美증시 강세에 코스피 상승 나흘 만에 2 090대 마감 종합 ', ' 회계부정·실적부진  日 도시바  5년간 7천명 줄인다', ' 미국발 훈풍  코스피 장중 2 120선 회복 코스닥 2  올라 종합2보 ']",69845
7,2018-11-12,74500,2018.11.11,"['적자기업도 투자 무늬만 배당펀드 수두룩', '개인 바이오 살때 외국인 반도체 샀다', '돌아온 외국인  IT대형주 다시 담는다', '삼성전자·SK하이닉스 이익도 내년 상반기엔 줄 듯', '전기전자 업종 대형주부터 샀던 외국인  삼성전자·SK하이닉스 등 주목', '반도체 빼면 10대그룹 영업익  뒷걸음 ', '美·中 무역분쟁 완화되면 먼저 반등할 종목은 ', '국내외 경기 둔화·신흥국 환율 불안에 韓 간판기업들까지 실적  흔들 ', '국민연금  주식투자 상위 30곳 중 13곳 보유 지분 줄여']",70288
8,2018-11-13,71900,2018.11.12,"['SK하이닉스  차세대 D램 개발', '5대그룹 CEO 평균연령 58 1세 연말  세대교체  바람불까', '첩만 700명 1000명의 여성을 아내로 맞은 남성', '코스피  삼바·셀트리온 급락 영향 하락 2080선 마감', '코스피  외인·기관 팔자세에 장 초반 약세', 'SK하이닉스  2세대 10나노 DDR4 D램 개발', 'SK하이닉스  생산성 전력 소비 개선한 2세대 10나노 DDR4 D램 개발', ' fn마감시황 코스피  바이오주 급락에 유탄 이틀째 하락 마감', '㈜토오텍  고품질 자동밸브로 스마트 팩토리 시대 견인', 'SK하이닉스  2세대 10나노급  DDR4 D램  개발', 'SK하이닉스  2세대 10나노 D램 개발', ' 한경로보뉴스  전일  외국인 거래소에서 SK하이닉스 0 00    삼성전자  0 57   등 순매수', ' 한경로보뉴스  전일  거래소 기관 순매도상위에 전기 전자 업종 5종목', '내년 예산 470조원 2009년 금융위기 이후 최대폭 증가', 'SK하이닉스 2세대 10나노급 8Gb D램 개발 생산성상승 전력소비하락', ' MT리포트  한국부터 팔았다     셀코리아  부른 짠물배당', '코스피  제약·바이오 이슈로 하락 IT가 추가 하락 막아', '에이피티씨  최우형 신임 대표 선임', ' 신기술 요람  탈바꿈 경자구역  구역별 전략산업은 ', ' MT리포트 코스피 4조 매도한 외국인  그래도 배당주는 샀다', '코스피  이틀째 약세 바이오株  실적·회계 이슈에 주르르', 'SK하이닉스  2세대 10나노급 D램 양산 생산성·전력효율상승', '5대그룹 CEO 평균연령 58 1세 연말  세대교체 인사  주목', '코스피  바이오株 불안에 하락 코스닥은 2 대하락 종합2보 ', '코스피  바이오株 급락에 하락 코스닥은 2 대하락 종합 ']",70441
9,2018-11-14,70400,2018.11.13,"[' Hot Line  미국 기술주 급락에 삼성전자·SK하이닉스 동반 약세', '코스피  애플 실적·美 수입차 관세 우려에 약세 2070선 마감', '코스피  애플 실적·美 수입차 관세 우려에 1 대 급락 낙폭은 축소', '코스피  애플 실적·美 수입차 관세 우려에 급락 2050선 내줘', '증권가  증시 급락  당분간 보수적인 대응을 ', '삼성 2년 연속 글로벌 반도체 1위  SK하이닉스 첫  톱3  진입', '삼성  2년 연속 반도체 1위   SK하이닉스 첫  톱3’ 진입', ' 한경로보뉴스  전일  외국인 거래소에서 SK하이닉스  2 19    삼성전자  2 03   등 순매수', '이번엔 애플發 악재 국내 IT주  된서리 ', '미국 기침에 감기몸살 앓던 韓 증시  0 4  하락  선방  어쩐 일 ', 'D램·낸드 가격 10월 4 대 추락 수출  최후보루  반도체 무너지나', '코스피  기관  사자  확대에 낙폭 축소 삼성바이오 12 상승', ' 버팀목  반도체마저 D램 수출가격 2년6개월來 최대폭 하락', ' 대형 고객사 주문 감소  아이폰 부진 우려 외국인·기관  IT주  팔자 ', '애플 아이폰 판매 부진 우려 부품주  동반 급락 ', ' 한경로보뉴스  에이피티씨 수주공시   반도체 제조장비 5억원  매출액대비 1 22  ', '코스피  미 증시 폭락 여파에 2050선  하회 ', '코스피  외국인·기관 팔자에 2040선  하락  코스닥은 2 하락', ' 한경로보뉴스  전일  기관 거래소에서 삼성바이오로직스  22 42    삼성전기  4 17   등 순매도', ' 오동희의 思見 그 후 1년  모간스탠리가 틀렸다', '애플 급락에 韓 반도체도 휘청 코스피 한때 2030까지 밀려', '한솔케미칼  최대실적 경신 내년도 청신호 이베스트證', '애플發 악재에 반도체株 흔들 코스닥  반등 성공', '美 뉴욕증시 급락에 코스피 2050선 하회   IT株 급락 ', ' 특징주  美기술주 급락에 삼성전자·SK하이닉스 동반 하락', '삼성  글로벌 반도체 업계 1위 굳혔다 SK는  톱3  진입', '코스피  미국발 기술주 악재에 2 대 급락 종합2보 ', '애플 실적 우려에 IT대형주·애플 관련주 동반하락 종합 ', '코스피  美기술주 급락에 하락 기관 매수에 낙폭은 줄여 종합2보 ', '코스피  미국발 악재에 하락 출발 2 040대로  털썩  종합 ', 'NH투자  코스피 내년 1 950∼2 400선 등락 ']",70437
